,angulo(erro),corr,gps_x_anterior,gps_x_atual,gps_x_final,gps_y_anterior,gps_y_atual,gps_y_final,servo,sinal(erro)
55,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
56,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
57,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
58,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
59,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
60,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
61,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
62,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
63,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
64,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
65,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
66,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
67,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
68,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
69,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
70,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
71,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
72,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
73,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
74,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
75,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
76,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
77,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
78,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
79,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
80,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
81,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
82,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
83,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
84,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
85,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
86,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
87,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
88,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
89,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
90,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
91,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
92,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
93,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
94,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
95,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
96,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
97,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
98,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
99,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
100,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
101,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
102,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
103,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
104,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
105,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
106,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
107,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
108,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
109,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
110,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
111,0.0,0.0,3.0,3.0,7538593.133685706,428321.25520552445,3.2518643137862457,21330815.635440543,-16.259321568931227,6.918703392155344
